A: C0 F: 10 B: 01 C: 10 D: C0 E: 25 H: 40 L: 25 SP: FFFE PC: 00:0206 (2A 12 1C 20)
A: 3E F: 10 B: 01 C: 10 D: C0 E: 25 H: 40 L: 26 SP: FFFE PC: 00:0207 (12 1C 20 FB)
A: 3E F: 10 B: 01 C: 10 D: C0 E: 25 H: 40 L: 26 SP: FFFE PC: 00:0208 (1C 20 FB 14)
A: 3E F: 10 B: 01 C: 10 D: C0 E: 26 H: 40 L: 26 SP: FFFE PC: 00:0209 (20 FB 14 0D)
A: 3E F: 10 B: 01 C: 10 D: C0 E: 26 H: 40 L: 26 SP: FFFE PC: 00:0206 (2A 12 1C 20)
A: D4 F: 10 B: 01 C: 10 D: C0 E: 26 H: 40 L: 27 SP: FFFE PC: 00:0207 (12 1C 20 FB)
A: D4 F: 10 B: 01 C: 10 D: C0 E: 26 H: 40 L: 27 SP: FFFE PC: 00:0208 (1C 20 FB 14)
A: D4 F: 10 B: 01 C: 10 D: C0 E: 27 H: 40 L: 27 SP: FFFE PC: 00:0209 (20 FB 14 0D)
A: D4 F: 10 B: 01 C: 10 D: C0 E: 27 H: 40 L: 27 SP: FFFE PC: 00:0206 (2A 12 1C 20)
A: CD F: 10 B: 01 C: 10 D: C0 E: 27 H: 40 L: 28 SP: FFFE PC: 00:0207 (12 1C 20 FB)
A: CD F: 10 B: 01 C: 10 D: C0 E: 27 H: 40 L: 28 SP: FFFE PC: 00:0208 (1C 20 FB 14)
A: CD F: 10 B: 01 C: 10 D: C0 E: 28 H: 40 L: 28 SP: FFFE PC: 00:0209 (20 FB 14 0D)
A: CD F: 10 B: 01 C: 10 D: C0 E: 28 H: 40 L: 28 SP: FFFE PC: 00:0206 (2A 12 1C 20)
A: 03 F: 10 B: 01 C: 10 D: C0 E: 28 H: 40 L: 29 SP: FFFE PC: 00:0207 (12 1C 20 FB)
A: 03 F: 10 B: 01 C: 10 D: C0 E: 28 H: 40 L: 29 SP: FFFE PC: 00:0208 (1C 20 FB 14)
A: 03 F: 10 B: 01 C: 10 D: C0 E: 29 H: 40 L: 29 SP: FFFE PC: 00:0209 (20 FB 14 0D)
A: 03 F: 10 B: 01 C: 10 D: C0 E: 29 H: 40 L: 29 SP: FFFE PC: 00:0206 (2A 12 1C 20)
A: C0 F: 10 B: 01 C: 10 D: C0 E: 29 H: 40 L: 2A SP: FFFE PC: 00:0207 (12 1C 20 FB)
A: C0 F: 10 B: 01 C: 10 D: C0 E: 29 H: 40 L: 2A SP: FFFE PC: 00:0208 (1C 20 FB 14)
A: C0 F: 10 B: 01 C: 10 D: C0 E: 2A H: 40 L: 2A SP: FFFE PC: 00:0209 (20 FB 14 0D)
A: C0 F: 10 B: 01 C: 10 D: C0 E: 2A H: 40 L: 2A SP: FFFE PC: 00:0206 (2A 12 1C 20)
A: F1 F: 10 B: 01 C: 10 D: C0 E: 2A H: 40 L: 2B SP: FFFE PC: 00:0207 (12 1C 20 FB)
A: F1 F: 10 B: 01 C: 10 D: C0 E: 2A H: 40 L: 2B SP: FFFE PC: 00:0208 (1C 20 FB 14)
A: F1 F: 10 B: 01 C: 10 D: C0 E: 2B H: 40 L: 2B SP: FFFE PC: 00:0209 (20 FB 14 0D)
A: F1 F: 10 B: 01 C: 10 D: C0 E: 2B H: 40 L: 2B SP: FFFE PC: 00:0206 (2A 12 1C 20)
A: 3D F: 10 B: 01 C: 10 D: C0 E: 2B H: 40 L: 2C SP: FFFE PC: 00:0207 (12 1C 20 FB)
A: 3D F: 10 B: 01 C: 10 D: C0 E: 2B H: 40 L: 2C SP: FFFE PC: 00:0208 (1C 20 FB 14)
A: 3D F: 10 B: 01 C: 10 D: C0 E: 2C H: 40 L: 2C SP: FFFE PC: 00:0209 (20 FB 14 0D)
A: 3D F: 10 B: 01 C: 10 D: C0 E: 2C H: 40 L: 2C SP: FFFE PC: 00:0206 (2A 12 1C 20)
A: 20 F: 10 B: 01 C: 10 D: C0 E: 2C H: 40 L: 2D SP: FFFE PC: 00:0207 (12 1C 20 FB)
A: 20 F: 10 B: 01 C: 10 D: C0 E: 2C H: 40 L: 2D SP: FFFE PC: 00:0208 (1C 20 FB 14)
A: 20 F: 10 B: 01 C: 10 D: C0 E: 2D H: 40 L: 2D SP: FFFE PC: 00:0209 (20 FB 14 0D)
A: 20 F: 10 B: 01 C: 10 D: C0 E: 2D H: 40 L: 2D SP: FFFE PC: 00:0206 (2A 12 1C 20)
A: F1 F: 10 B: 01 C: 10 D: C0 E: 2D H: 40 L: 2E SP: FFFE PC: 00:0207 (12 1C 20 FB)
A: F1 F: 10 B: 01 C: 10 D: C0 E: 2D H: 40 L: 2E SP: FFFE PC: 00:0208 (1C 20 FB 14)
A: F1 F: 10 B: 01 C: 10 D: C0 E: 2E H: 40 L: 2E SP: FFFE PC: 00:0209 (20 FB 14 0D)
A: F1 F: 10 B: 01 C: 10 D: C0 E: 2E H: 40 L: 2E SP: FFFE PC: 00:0206 (2A 12 1C 20)
A: C9 F: 10 B: 01 C: 10 D: C0 E: 2E H: 40 L: 2F SP: FFFE PC: 00:0207 (12 1C 20 FB)
A: C9 F: 10 B: 01 C: 10 D: C0 E: 2E H: 40 L: 2F SP: FFFE PC: 00:0208 (1C 20 FB 14)
A: C9 F: 10 B: 01 C: 10 D: C0 E: 2F H: 40 L: 2F SP: FFFE PC: 00:0209 (20 FB 14 0D)
A: C9 F: 10 B: 01 C: 10 D: C0 E: 2F H: 40 L: 2F SP: FFFE PC: 00:0206 (2A 12 1C 20)
A: F5 F: 10 B: 01 C: 10 D: C0 E: 2F H: 40 L: 30 SP: FFFE PC: 00:0207 (12 1C 20 FB)
A: F5 F: 10 B: 01 C: 10 D: C0 E: 2F H: 40 L: 30 SP: FFFE PC: 00:0208 (1C 20 FB 14)
A: F5 F: 30 B: 01 C: 10 D: C0 E: 30 H: 40 L: 30 SP: FFFE PC: 00:0209 (20 FB 14 0D)
A: F5 F: 30 B: 01 C: 10 D: C0 E: 30 H: 40 L: 30 SP: FFFE PC: 00:0206 (2A 12 1C 20)
A: 7C F: 30 B: 01 C: 10 D: C0 E: 30 H: 40 L: 31 SP: FFFE PC: 00:0207 (12 1C 20 FB)
A: 7C F: 30 B: 01 C: 10 D: C0 E: 30 H: 40 L: 31 SP: FFFE PC: 00:0208 (1C 20 FB 14)
A: 7C F: 10 B: 01 C: 10 D: C0 E: 31 H: 40 L: 31 SP: FFFE PC: 00:0209 (20 FB 14 0D)
A: 7C F: 10 B: 01 C: 10 D: C0 E: 31 H: 40 L: 31 SP: FFFE PC: 00:0206 (2A 12 1C 20)
A: CD F: 10 B: 01 C: 10 D: C0 E: 31 H: 40 L: 32 SP: FFFE PC: 00:0207 (12 1C 20 FB)
A: CD F: 10 B: 01 C: 10 D: C0 E: 31 H: 40 L: 32 SP: FFFE PC: 00:0208 (1C 20 FB 14)
